F14.55;TBL PSYCHOT +SYMPT MANIAQUES DÛ À COCAÏNE
F14.56;TBL PSYCHOT MIXTE DÛ À COCAÏNE
F14.6;TBL  MENT  DUS A COCAINE   SYND  AMNESIQUE
F14.7;TBL  MENT  DUS A COCAINE   TBL  RESIDUEL OU PSYCHOT 
F14.70;FLASHBACKS DUS À COCAÏNE
F14.71;TBL PERSO COMPORT RÉSIDUEL TARDIF DÛ À COCAÏNE
F14.72;TBL THYMIQUE RÉSIDUEL TARDIF DÛ À COCAÏNE
F14.73;DÉMENCE DUE À COCAÏNE
F14.74;AUTRE DÉFIC COGNITIF PERSISTANT TARDIF DÛ À COCAÏNE
F14.75;TBL PSYCHOT À DÉBUT TARDIF DÛ À COCAÏNE
F14.8;TBL  MENT  NCA  DUS A COCAINE
F14.9;TBL  MENT  SAI  DUS A COCAINE
F15.3;TBL  MENT  DUS A STIMUL  NCA    SYND  DE SEVRAGE
F15.30;SYND SEVRAGE STIMUL NCA SANS COMPLIC
F15.31;SYND SEVRAGE STIMUL NCA +CONVULSIONS
F15.4;TBL  MENT  DUS A STIMUL  NCA    SYND  DE SEVR  + DELIRIUM
F15.40;SYND SEVRAGE STIMUL NCA +DÉLIRIUM SANS CONVULSION
F15.41;SYND SEVRAGE STIMUL NCA +DÉLIRIUM +CONVULSIONS
F15.5;TBL  MENT  DUS A STIMUL  NCA    TBL  PSYCHOT 
F15.50;TBL PSYCHOT ALLURE SCHIZOPHR DÛ À STIMUL NCA
F15.51;TBL PSYCHOT +IDÉES DÉLIRES DÛ À STIMUL NCA
F15.52;TBL PSYCHOT +HALLUCINATIONS DÛ À STIMUL NCA
F15.53;TBL PSYCHOT +SYMPT POLYMORPHES DÛ À STIMUL NCA
F15.54;TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ À STIMUL NCA
F15.55;TBL PSYCHOT +SYMPT MANIAQUES DÛ À STIMUL NCA
F15.56;TBL PSYCHOT MIXTE DÛ À STIMUL NCA
F15.6;TBL  MENT  DUS A STIMUL  NCA    SYND  AMNESIQUE
F15.7;TBL  MENT  DUS A STIMUL  NCA    TBL  RESIDUEL OU PSYCHOT 
F15.70;FLASHBACKS DUS À STIMUL NCA
F15.71;TBL PERSO COMPORT RÉSIDUEL TARDIF DÛ À STIMUL NCA
F15.72;TBL THYMIQUE RÉSIDUEL TARDIF DÛ À STIMUL NCA
F15.73;DÉMENCE DUE À STIMUL NCA
F15.74;AUTRE DÉFIC COGNITIF PERSISTANT TARDIF DÛ À STIMUL NCA
F15.75;TBL PSYCHOT À DÉBUT TARDIF DÛ À STIMUL NCA
F15.8;TBL  MENT  NCA  DUS A STIMUL  NCA 
F15.9;TBL  MENT  SAI  DUS A STIMUL  NCA 
F16.3;TBL  MENT  DUS A HALLUC    SYND  DE SEVRAGE
F16.30;SYND SEVRAGE DES HALLUC SANS COMPLIC
F16.31;SYND SEVRAGE DES HALLUC +CONVULSIONS
F16.4;TBL  MENT  DUS A HALLUC    SYND  DE SEVR  + DELIRIUM
F16.40;SYND SEVRAGE DES HALLUC +DÉLIRIUM SANS CONVULSION
F16.41;SYND SEVRAGE DES HALLUC +DÉLIRIUM +CONVULSIONS
