"",,Liste,Liste,
A19.9,4,503,-,"TUBERC. MILIAIRE, SAI"
A20.3,4,829,-,PESTE MENINGEE
A21.7,3,147,-,TULAREMIE GENERALISEE
A22.7,3,418,-,SEPSIS CHARBONNEUX
A24.1,3,418,-,MELIOIDOSE AIG. ET GALOPANTE
A25.0,2,147,-,SPIRILLOSE
A25.1,2,147,-,STREPTOBACILLOSE
A25.9,2,147,-,"FIEVRE CAUSEE PAR MORSURE DE RAT, SAI"
A26.0,2,217,-,ERYSIPELOIDE CUTANEE
A26.7,3,418,-,SEPSIS A ERYSIPELOTHRIX
A26.8,2,147,-,"ERYSIPELOIDE, NCA"
A26.9,2,217,-,"ERYSIPELOIDE, SAI"
A27.0,2,384,-,LEPTOSPIROSE ICTERO-HEMORR.
A27.8,2,147,-,"LEPTOSPIROSE, NCA"
A27.9,2,384,-,"LEPTOSPIROSE, SAI"
A30.0,2,745,-,LEPRE INDETERMINEE
A30.1,2,745,-,LEPRE TUBERCULOIDE
A30.2,2,745,-,LEPRE TUBERCULOIDE DE TYPE INTERMEDIAIRE ATYPIQUE
A30.3,2,745,-,LEPRE DE TYPE INTERMEDIAIRE ATYPIQUE
A30.4,2,745,-,LEPRE LEPROMATEUSE DE TYPE INTERMEDIAIRE ATYPIQUE
A30.5,2,745,-,LEPRE LEPROMATEUSE
A30.8,2,745,-,"LEPRE, NCA"
A30.9,2,745,-,"LEPRE, SAI"
A31.0,3,631,-,INFECT. PULM. A MYCOBACTERIES ATYPIQUES
A31.1,3,1040,-,INFECT. CUTANEE A MYCOBACTERIES ATYPIQUES
A31.8,3,438,-,"INFECT. A MYCOBACTERIES ATYPIQUES, NCA"
A31.9,3,390,-,"INFECT. A MYCOBACTERIES ATYPIQUES, SAI"
A32.0,3,460,-,LISTERIOSE CUTANEE
A32.1,4,163,-,MENINGITE ET MENINGO-ENCEPHALITE LISTERIENNES
CMA,niv,"Listediag","Listeracine",Libellé
A32.7,4,418,-,SEPSIS A LISTERIA
A32.8,3,726,-,"LISTERIOSE, NCA"
A32.9,3,657,-,"LISTERIOSE, SAI"
A33,3,726,-,TETANOS NEONAT.
A34,3,726,-,TETANOS OBST.
A35,3,726,-,"TETANOS, NCA OU SAI"
A37.0,2,135,-,COQUELUCHE A BORDETELLA PERTUSSIS
A37.1,2,135,-,COQUELUCHE A BORDETELLA PARAPERTUSSIS
A37.8,2,135,-,COQUELUCHE DUE A D'AUTRES ESPECES DE BORDETELLA
A37.9,2,135,-,"COQUELUCHE, SAI"
A39.0,4,862,-,MENINGITE A MENINGO.
A39.1,2,165,-,SYND. DE WATERHOUSE-FRIDERICHSEN
A39.2,2,327,-,MENINGOCOCCEMIE AIG.
A39.3,2,327,-,MENINGOCOCCEMIE CHRON.
A39.4,2,327,-,"MENINGOCOCCEMIE, SAI"
A39.5,2,327,-,CARDITE A MENINGO.
A39.8,2,614,-,"INFECT. A MENINGO., NCA"
A39.9,2,929,-,"INFECT. A MENINGO., SAI"
A40.0,4,532,-,"SEPSIS A STREPTO., GROUPE A"
A40.1,4,532,-,"SEPSIS A STREPTO., GROUPE B"
A40.2,4,532,-,"SEPSIS À STREPTOCOQUES, GROUPE D ET ENTÉROCOQUES"
A40.3,4,532,-,SEPSIS A STREPTOCOCCUS PNEUMONIAE
A40.8,4,532,-,"SEPSIS A STREPTO., NCA"
A40.9,4,532,-,"SEPSIS A STREPTO., SAI"
A41.0,4,943,-,SEPSIS A STAPHYLO. DORES
A41.1,4,943,-,SEPSIS A D'AUTRES STAPHYLO. PREC.
A41.2,4,943,-,"SEPSIS A STAPHYLO., SAI"
A41.3,3,943,-,SEPSIS A HAEMOPHILUS INFLUENZAE
A41.4,4,515,-,SEPSIS A MICRO-ORG. ANAEROBIES
A41.5,4,515,-,SEPSIS A D'AUTRES MICRO-ORG. GRAM NEGATIF
A41.8,4,515,-,"SEPSIS PREC., NCA"
A41.9,3,465,-,"SEPSIS, SAI"
A42.7,3,628,-,SEPSIS ACTINOMYCOSIQUE
A43.0,3,329,-,NOCARDIOSE PULM.
A43.1,3,460,-,NOCARDIOSE CUTANEE
A43.8,3,726,-,"NOCARDIOSE, NCA"
A43.9,3,176,-,"NOCARDIOSE, SAI"
A44.0,4,726,-,BARTONELLOSE GENERALISEE
A44.1,2,460,-,BARTONELLOSE CUTANEE ET CUTANEO-MUQ.
A44.8,2,726,-,"BARTONELLOSE, NCA"
A44.9,2,460,-,"BARTONELLOSE, SAI"
A46,3,400,25,ERYSIPELE
"",niv,"Listediag","Listeracine",Libellé
A32.7,4,418,-,SEPSIS A LISTERIA
A32.8,3,726,-,"LISTERIOSE, NCA"
A32.9,3,657,-,"LISTERIOSE, SAI"
A33,3,726,-,TETANOS NEONAT.
A34,3,726,-,TETANOS OBST.
A35,3,726,-,"TETANOS, NCA OU SAI"
A37.0,2,135,-,COQUELUCHE A BORDETELLA PERTUSSIS
A37.1,2,135,-,COQUELUCHE A BORDETELLA PARAPERTUSSIS
A37.8,2,135,-,COQUELUCHE DUE A D'AUTRES ESPECES DE BORDETELLA
A37.9,2,135,-,"COQUELUCHE, SAI"
A39.0,4,862,-,MENINGITE A MENINGO.
A39.1,2,165,-,SYND. DE WATERHOUSE-FRIDERICHSEN
A39.2,2,327,-,MENINGOCOCCEMIE AIG.
A39.3,2,327,-,MENINGOCOCCEMIE CHRON.
A39.4,2,327,-,"MENINGOCOCCEMIE, SAI"
A39.5,2,327,-,CARDITE A MENINGO.
A39.8,2,614,-,"INFECT. A MENINGO., NCA"
A39.9,2,929,-,"INFECT. A MENINGO., SAI"
A40.0,4,532,-,"SEPSIS A STREPTO., GROUPE A"
A40.1,4,532,-,"SEPSIS A STREPTO., GROUPE B"
A40.2,4,532,-,"SEPSIS À STREPTOCOQUES, GROUPE D ET ENTÉROCOQUES"
A40.3,4,532,-,SEPSIS A STREPTOCOCCUS PNEUMONIAE
A40.8,4,532,-,"SEPSIS A STREPTO., NCA"
A40.9,4,532,-,"SEPSIS A STREPTO., SAI"
A41.0,4,943,-,SEPSIS A STAPHYLO. DORES
A41.1,4,943,-,SEPSIS A D'AUTRES STAPHYLO. PREC.
A41.2,4,943,-,"SEPSIS A STAPHYLO., SAI"
A41.3,3,943,-,SEPSIS A HAEMOPHILUS INFLUENZAE
A41.4,4,515,-,SEPSIS A MICRO-ORG. ANAEROBIES
A41.5,4,515,-,SEPSIS A D'AUTRES MICRO-ORG. GRAM NEGATIF
A41.8,4,515,-,"SEPSIS PREC., NCA"
A41.9,3,465,-,"SEPSIS, SAI"
A42.7,3,628,-,SEPSIS ACTINOMYCOSIQUE
A43.0,3,329,-,NOCARDIOSE PULM.
A43.1,3,460,-,NOCARDIOSE CUTANEE
A43.8,3,726,-,"NOCARDIOSE, NCA"
A43.9,3,176,-,"NOCARDIOSE, SAI"
