CMD;Liste;Libellé liste;Code;Libellé code
01;D-0105;Infections du système nerveux sauf méningites virales;G93.7;Syndrome de Reye
01;D-0106;Tumeurs malignes du système nerveux;C47.0;Tumeur maligne des nerfs périphériques de la tête  de la face et du cou
01;D-0106;Tumeurs malignes du système nerveux;C47.1;Tumeur maligne des nerfs périphériques du membre supérieur  y compris l épaule
01;D-0106;Tumeurs malignes du système nerveux;C47.2;Tumeur maligne des nerfs périphériques du membre inférieur  y compris la hanche
01;D-0106;Tumeurs malignes du système nerveux;C47.3;Tumeur maligne des nerfs périphériques du thorax
01;D-0106;Tumeurs malignes du système nerveux;C47.4;Tumeur maligne des nerfs périphériques de l abdomen
01;D-0106;Tumeurs malignes du système nerveux;C47.5;Tumeur maligne des nerfs périphériques du pelvis
01;D-0106;Tumeurs malignes du système nerveux;C47.6;Tumeur maligne des nerfs périphériques du tronc  sans précision
01;D-0106;Tumeurs malignes du système nerveux;C47.8;Tumeur maligne à localisations contiguës des nerfs périphériques et du système nerveux autonome
01;D-0106;Tumeurs malignes du système nerveux;C47.9;Tumeur maligne des nerfs périphériques et du système nerveux autonome  sans précision
01;D-0106;Tumeurs malignes du système nerveux;C70.0;Tumeur maligne des méninges cérébrales
01;D-0106;Tumeurs malignes du système nerveux;C70.1;Tumeur maligne des méninges rachidiennes
01;D-0106;Tumeurs malignes du système nerveux;C70.9;Tumeur maligne des méninges  sans précision
01;D-0106;Tumeurs malignes du système nerveux;C71.0;Tumeur maligne du cerveau  sauf lobes et ventricules
01;D-0106;Tumeurs malignes du système nerveux;C71.1;Tumeur maligne du lobe frontal
01;D-0106;Tumeurs malignes du système nerveux;C71.2;Tumeur maligne du lobe temporal
01;D-0106;Tumeurs malignes du système nerveux;C71.3;Tumeur maligne du lobe pariétal
01;D-0106;Tumeurs malignes du système nerveux;C71.4;Tumeur maligne du lobe occipital
01;D-0106;Tumeurs malignes du système nerveux;C71.5;Tumeur maligne d un ventricule cérébral
01;D-0106;Tumeurs malignes du système nerveux;C71.6;Tumeur maligne du cervelet
01;D-0106;Tumeurs malignes du système nerveux;C71.7;Tumeur maligne du tronc cérébral
01;D-0106;Tumeurs malignes du système nerveux;C71.8;Tumeur maligne à localisations contiguës de l encéphale
01;D-0106;Tumeurs malignes du système nerveux;C71.9;Tumeur maligne de l encéphale  sans précision
01;D-0106;Tumeurs malignes du système nerveux;C72.0;Tumeur maligne de la moelle épinière
01;D-0106;Tumeurs malignes du système nerveux;C72.1;Tumeur maligne de la queue de cheval
01;D-0106;Tumeurs malignes du système nerveux;C72.2;Tumeur maligne du nerf olfactif
01;D-0106;Tumeurs malignes du système nerveux;C72.3;Tumeur maligne du nerf optique
01;D-0106;Tumeurs malignes du système nerveux;C72.4;Tumeur maligne du nerf auditif
01;D-0106;Tumeurs malignes du système nerveux;C72.5;Tumeur maligne des nerfs crâniens  autres et non précisés
01;D-0106;Tumeurs malignes du système nerveux;C72.8;Tumeur maligne à localisations contiguës de l encéphale et d autres parties du système nerveux central
01;D-0106;Tumeurs malignes du système nerveux;C72.9;Tumeur maligne du système nerveux (central)  sans précision
01;D-0106;Tumeurs malignes du système nerveux;C75.3;Tumeur maligne de l épiphyse
01;D-0106;Tumeurs malignes du système nerveux;C75.4;Tumeur maligne du corpuscule carotidien
01;D-0106;Tumeurs malignes du système nerveux;C75.5;Tumeur maligne du glomus aortique et autres paraganglions
01;D-0106;Tumeurs malignes du système nerveux;C79.3;Tumeur maligne secondaire du cerveau et des méninges cérébrales
01;D-0106;Tumeurs malignes du système nerveux;C79.4;Tumeur maligne secondaire de parties du système nerveux  autres et non précisées
01;D-0107;Autres tumeurs du système nerveux;D32.0;Tumeur bénigne des méninges cérébrales
01;D-0107;Autres tumeurs du système nerveux;D32.1;Tumeur bénigne des méninges rachidiennes
01;D-0107;Autres tumeurs du système nerveux;D32.9;Tumeur bénigne des méninges  sans précision
01;D-0107;Autres tumeurs du système nerveux;D33.0;Tumeur bénigne de l encéphale  supratentoriel
01;D-0107;Autres tumeurs du système nerveux;D33.1;Tumeur bénigne de l encéphale  infratentoriel
01;D-0107;Autres tumeurs du système nerveux;D33.2;Tumeur bénigne de l encéphale  sans précision
01;D-0107;Autres tumeurs du système nerveux;D33.3;Tumeur bénigne des nerfs crâniens
01;D-0107;Autres tumeurs du système nerveux;D33.4;Tumeur bénigne de la moelle épinière
01;D-0107;Autres tumeurs du système nerveux;D33.7;Tumeur bénigne d autres parties précisées du système nerveux central
01;D-0107;Autres tumeurs du système nerveux;D33.9;Tumeur bénigne du système nerveux (central)  sans précision
01;D-0107;Autres tumeurs du système nerveux;D35.4;Tumeur bénigne de l épiphyse
01;D-0107;Autres tumeurs du système nerveux;D35.5;Tumeur bénigne du corpuscule carotidien
01;D-0107;Autres tumeurs du système nerveux;D35.6;Tumeur bénigne du glomus aortique et autres paraganglions
01;D-0107;Autres tumeurs du système nerveux;D36.1;Tumeur bénigne des nerfs périphériques et du système nerveux autonome
01;D-0107;Autres tumeurs du système nerveux;D42.0;Tumeur à évolution imprévisible ou inconnue des méninges cérébrales
01;D-0107;Autres tumeurs du système nerveux;D42.1;Tumeur à évolution imprévisible ou inconnue des méninges rachidiennes
01;D-0107;Autres tumeurs du système nerveux;D42.9;Tumeur à évolution imprévisible ou inconnue des méninges  sans précision
01;D-0107;Autres tumeurs du système nerveux;D43.0;Tumeur à évolution imprévisible ou inconnue de l encéphale  supratentoriel
01;D-0107;Autres tumeurs du système nerveux;D43.1;Tumeur à évolution imprévisible ou inconnue de l encéphale  infratentoriel
